gtdb_genome_representative	aquatic_habitat	host_associated	soil_habitat
GB_GCA_903905995.1	1	0	0
GB_GCA_903899945.1	1	0	0
GB_GCA_903878455.1	1	0	0
RS_GCF_004210305.1	0	1	0
GB_GCA_903861255.1	1	0	0
GB_GCA_013823725.1	1	0	0
RS_GCF_000742835.1	0	1	0
GB_GCA_002746255.1	1	0	0
GB_GCA_016776635.1	1	0	0
GB_GCA_018667475.1	1	0	0
GB_GCA_009380075.1			
GB_GCA_018666775.1	1	0	0
GB_GCA_004356985.1	0	0	1
GB_GCA_016869145.1	1	0	0
GB_GCA_009377375.1			
GB_GCA_002709075.1	1	0	0
GB_GCA_012103315.1	1	1	0
GB_GCA_002720855.1	1	0	0
GB_GCA_905479125.1	1	0	0
GB_GCA_002295635.1	1	0	0
GB_GCA_004213075.1	1	0	0
GB_GCA_002471575.1	1	0	0
GB_GCA_018661685.1	1	0	0
GB_GCA_017640745.1	1	0	0
RS_GCF_014904705.1			
RS_GCF_000426505.1			
RS_GCF_014904795.1			
GB_GCA_002238645.1	0	1	0
GB_GCA_002701455.1	1	0	0
GB_GCA_018667895.1	1	0	0
GB_GCA_002690685.1	1	0	0
GB_GCA_013203465.1	1	0	0
RS_GCF_000423805.1	1	0	0
RS_GCF_000510265.1	0	1	0
RS_GCF_000319385.1	0	1	0
RS_GCF_014652915.1			
GB_GCA_000171835.1			
GB_GCA_003278095.1	1	0	0
GB_GCA_902619615.1	1	0	0
GB_GCA_011522975.1	1	1	0
GB_GCA_016778985.1	1	0	0
GB_GCA_018701255.1	1	0	0
GB_GCA_011522725.1	1	1	0
GB_GCA_018624035.1	1	0	0
GB_GCA_009920665.1	1	0	0
RS_GCF_000024465.1	1	0	0
GB_GCA_018668795.1	1	0	0
GB_GCA_016778895.1	1	0	0
GB_GCA_905479355.1	1	0	0
GB_GCA_905182545.1	1	0	0
GB_GCA_017859295.1	1	0	0
GB_GCA_011524995.1	1	1	0
GB_GCA_017857715.1	1	0	0
GB_GCA_011524805.1	1	1	0
GB_GCA_016780775.1	1	0	0
