node	Africa	Albania	EastEurope	Greece	WestEurope
ROOT	0.9462052862826844	0.001914280176004069	0.011256195430749353	0.013434895078769278	0.02718934303179302
node_1	0.9497448756884718	0.00018867829445640965	0.00048818451017024184	0.0013241891702916529	0.048254072336610054
node_2	0.975281826492112	0.0004850662616721518	0.015213951401235201	0.0034043575421015063	0.00561479830287915
node_3	0.947398734108667	0.00028010304215343675	0.000594978489572103	0.001965829368286918	0.04976035499132066
node_4	0.9384939920263305	0.00021645870468202334	0.0004398469955915891	0.0015191582946467036	0.059330543978749054
00CZAY4286	0.0	0.0	1.0	0.0	0.0
node_5	0.9999517016082088	9.117791047486472e-07	3.0195362864836707e-05	6.458732617247023e-06	1.073251720424182e-05
97CDAF6238	1.0	0.0	0.0	0.0	0.0
94CYAF6237	0.0	0.0	0.0	0.0	1.0
97CDAF6240	1.0	0.0	0.0	0.0	0.0
node_6	0.11580269647687687	0.0008690839872677644	0.0012564185181890492	0.0060994348916189765	0.8759723661260473
node_7	0.9999707742320297	4.360649566489895e-07	1.4550477591706716e-05	4.254557125973269e-06	9.984668296072635e-06
node_8	0.9999969332297844	7.594736819549773e-08	9.593286576035152e-07	5.379342742044128e-07	1.4935599155245145e-06
03ESAY2109	0.0	0.0	0.0	0.0	1.0
03ESAY2098	0.0	0.0	0.0	0.0	1.0
85UGM62320	1.0	0.0	0.0	0.0	0.0
node_9	0.9998903153971753	5.388566451042891e-07	5.3105744996769096e-05	1.1354297586310583e-05	4.468570359638167e-05
node_10	0.9976686187063262	2.627129996578072e-05	3.760480971655398e-05	0.00018437875514847895	0.0020831264288431444
node_11	0.9999985888864179	6.442427714662251e-08	1.0709441909651932e-07	6.039818638987911e-07	6.356130218923322e-07
node_12	0.9999581670726284	1.1418895262393295e-06	2.165735956580616e-06	8.091588743006132e-06	3.043371314578509e-05
node_13	0.9998903153971753	5.388566451042891e-07	5.3105744996769096e-05	1.1354297586310583e-05	4.468570359638167e-05
99SEAY5206	0.0	0.0	0.0	0.0	1.0
node_14	0.9999995004974036	7.00848690141178e-09	1.002493123069825e-08	4.9187326998238884e-08	4.332818512233819e-07
node_15	0.9999122873370084	6.681520886468261e-07	9.541956276328935e-07	4.862682642715014e-05	3.7463488848219835e-05
node_16	0.9999611296027877	2.248011701048356e-06	3.2095071798546734e-06	1.5786312084063955e-05	1.7626566247380823e-05
